T,id,x,y,z
526.816,0,0.505,0,0
526.998,0.1001,0.505,0.1001,0
527.179,0.2002,0.505,0.2002,0
527.361,0.3003,0.505,0.3003,0
527.542,0.4004,0.505,0.4004,0
527.724,0.500501,0.505,0.500501,0
527.905,0.600601,0.505,0.600601,0
528.087,0.700701,0.505,0.700701,0
528.268,0.800801,0.505,0.800801,0
528.45,0.900901,0.505,0.900901,0
528.632,1.001,0.505,1.001,0
528.85,1.1011,0.505,1.1011,0
529.068,1.2012,0.505,1.2012,0
529.286,1.3013,0.505,1.3013,0
529.504,1.4014,0.505,1.4014,0
529.722,1.5015,0.505,1.5015,0
529.94,1.6016,0.505,1.6016,0
530.158,1.7017,0.505,1.7017,0
530.376,1.8018,0.505,1.8018,0
530.594,1.9019,0.505,1.9019,0
530.812,2.002,0.505,2.002,0
531.024,2.1021,0.505,2.1021,0
531.236,2.2022,0.505,2.2022,0
531.449,2.3023,0.505,2.3023,0
531.661,2.4024,0.505,2.4024,0
531.873,2.5025,0.505,2.5025,0
532.085,2.6026,0.505,2.6026,0
532.297,2.7027,0.505,2.7027,0
532.509,2.8028,0.505,2.8028,0
532.722,2.9029,0.505,2.9029,0
532.934,3.003,0.505,3.003,0
533.147,3.1031,0.505,3.1031,0
533.36,3.2032,0.505,3.2032,0
533.574,3.3033,0.505,3.3033,0
533.787,3.4034,0.505,3.4034,0
534,3.5035,0.505,3.5035,0
534.214,3.6036,0.505,3.6036,0
534.427,3.7037,0.505,3.7037,0
534.64,3.8038,0.505,3.8038,0
534.854,3.9039,0.505,3.9039,0
535.067,4.004,0.505,4.004,0
535.28,4.1041,0.505,4.1041,0
535.494,4.2042,0.505,4.2042,0
535.707,4.3043,0.505,4.3043,0
535.92,4.4044,0.505,4.4044,0
536.133,4.5045,0.505,4.5045,0
536.346,4.6046,0.505,4.6046,0
536.56,4.7047,0.505,4.7047,0
536.773,4.8048,0.505,4.8048,0
536.986,4.9049,0.505,4.9049,0
537.199,5.00501,0.505,5.00501,0
537.413,5.10511,0.505,5.10511,0
537.626,5.20521,0.505,5.20521,0
537.839,5.30531,0.505,5.30531,0
538.052,5.40541,0.505,5.40541,0
538.265,5.50551,0.505,5.50551,0
538.478,5.60561,0.505,5.60561,0
538.692,5.70571,0.505,5.70571,0
538.905,5.80581,0.505,5.80581,0
539.118,5.90591,0.505,5.90591,0
539.331,6.00601,0.505,6.00601,0
539.544,6.10611,0.505,6.10611,0
539.757,6.20621,0.505,6.20621,0
539.97,6.30631,0.505,6.30631,0
540.183,6.40641,0.505,6.40641,0
540.396,6.50651,0.505,6.50651,0
540.609,6.60661,0.505,6.60661,0
540.822,6.70671,0.505,6.70671,0
541.035,6.80681,0.505,6.80681,0
541.248,6.90691,0.505,6.90691,0
541.461,7.00701,0.505,7.00701,0
541.673,7.10711,0.505,7.10711,0
541.886,7.20721,0.505,7.20721,0
542.099,7.30731,0.505,7.30731,0
542.311,7.40741,0.505,7.40741,0
542.524,7.50751,0.505,7.50751,0
542.736,7.60761,0.505,7.60761,0
542.949,7.70771,0.505,7.70771,0
543.162,7.80781,0.505,7.80781,0
543.374,7.90791,0.505,7.90791,0
543.587,8.00801,0.505,8.00801,0
543.799,8.10811,0.505,8.10811,0
544.011,8.20821,0.505,8.20821,0
544.224,8.30831,0.505,8.30831,0
544.436,8.40841,0.505,8.40841,0
544.648,8.50851,0.505,8.50851,0
544.86,8.60861,0.505,8.60861,0
545.072,8.70871,0.505,8.70871,0
545.285,8.80881,0.505,8.80881,0
545.497,8.90891,0.505,8.90891,0
545.709,9.00901,0.505,9.00901,0
545.921,9.10911,0.505,9.10911,0
546.132,9.20921,0.505,9.20921,0
546.344,9.30931,0.505,9.30931,0
546.555,9.40941,0.505,9.40941,0
546.767,9.50951,0.505,9.50951,0
546.979,9.60961,0.505,9.60961,0
547.19,9.70971,0.505,9.70971,0
547.402,9.80981,0.505,9.80981,0
547.613,9.90991,0.505,9.90991,0
547.825,10.01,0.505,10.01,0
548.036,10.1101,0.505,10.1101,0
548.247,10.2102,0.505,10.2102,0
548.458,10.3103,0.505,10.3103,0
548.669,10.4104,0.505,10.4104,0
