T,id,x,y,z
511.269,0,0.605,0,0
511.359,0.1001,0.605,0.1001,0
511.45,0.2002,0.605,0.2002,0
511.54,0.3003,0.605,0.3003,0
511.631,0.4004,0.605,0.4004,0
511.722,0.500501,0.605,0.500501,0
511.812,0.600601,0.605,0.600601,0
511.903,0.700701,0.605,0.700701,0
511.994,0.800801,0.605,0.800801,0
512.084,0.900901,0.605,0.900901,0
512.175,1.001,0.605,1.001,0
512.284,1.1011,0.605,1.1011,0
512.393,1.2012,0.605,1.2012,0
512.502,1.3013,0.605,1.3013,0
512.61,1.4014,0.605,1.4014,0
512.719,1.5015,0.605,1.5015,0
512.828,1.6016,0.605,1.6016,0
512.937,1.7017,0.605,1.7017,0
513.046,1.8018,0.605,1.8018,0
513.155,1.9019,0.605,1.9019,0
513.264,2.002,0.605,2.002,0
513.372,2.1021,0.605,2.1021,0
513.48,2.2022,0.605,2.2022,0
513.588,2.3023,0.605,2.3023,0
513.696,2.4024,0.605,2.4024,0
513.804,2.5025,0.605,2.5025,0
513.912,2.6026,0.605,2.6026,0
514.02,2.7027,0.605,2.7027,0
514.128,2.8028,0.605,2.8028,0
514.236,2.9029,0.605,2.9029,0
514.344,3.003,0.605,3.003,0
514.453,3.1031,0.605,3.1031,0
514.563,3.2032,0.605,3.2032,0
514.673,3.3033,0.605,3.3033,0
514.783,3.4034,0.605,3.4034,0
514.892,3.5035,0.605,3.5035,0
515.002,3.6036,0.605,3.6036,0
515.112,3.7037,0.605,3.7037,0
515.221,3.8038,0.605,3.8038,0
515.331,3.9039,0.605,3.9039,0
515.441,4.004,0.605,4.004,0
515.552,4.1041,0.605,4.1041,0
515.663,4.2042,0.605,4.2042,0
515.774,4.3043,0.605,4.3043,0
515.885,4.4044,0.605,4.4044,0
515.996,4.5045,0.605,4.5045,0
516.107,4.6046,0.605,4.6046,0
516.218,4.7047,0.605,4.7047,0
516.329,4.8048,0.605,4.8048,0
516.44,4.9049,0.605,4.9049,0
516.551,5.00501,0.605,5.00501,0
516.663,5.10511,0.605,5.10511,0
516.775,5.20521,0.605,5.20521,0
516.888,5.30531,0.605,5.30531,0
517,5.40541,0.605,5.40541,0
517.112,5.50551,0.605,5.50551,0
517.224,5.60561,0.605,5.60561,0
517.337,5.70571,0.605,5.70571,0
517.449,5.80581,0.605,5.80581,0
517.561,5.90591,0.605,5.90591,0
517.673,6.00601,0.605,6.00601,0
517.787,6.10611,0.605,6.10611,0
517.9,6.20621,0.605,6.20621,0
518.014,6.30631,0.605,6.30631,0
518.127,6.40641,0.605,6.40641,0
518.24,6.50651,0.605,6.50651,0
518.354,6.60661,0.605,6.60661,0
518.467,6.70671,0.605,6.70671,0
518.581,6.80681,0.605,6.80681,0
518.694,6.90691,0.605,6.90691,0
518.808,7.00701,0.605,7.00701,0
518.922,7.10711,0.605,7.10711,0
519.037,7.20721,0.605,7.20721,0
519.151,7.30731,0.605,7.30731,0
519.266,7.40741,0.605,7.40741,0
519.38,7.50751,0.605,7.50751,0
519.495,7.60761,0.605,7.60761,0
519.61,7.70771,0.605,7.70771,0
519.724,7.80781,0.605,7.80781,0
519.839,7.90791,0.605,7.90791,0
519.953,8.00801,0.605,8.00801,0
520.069,8.10811,0.605,8.10811,0
520.185,8.20821,0.605,8.20821,0
520.3,8.30831,0.605,8.30831,0
520.416,8.40841,0.605,8.40841,0
520.531,8.50851,0.605,8.50851,0
520.647,8.60861,0.605,8.60861,0
520.763,8.70871,0.605,8.70871,0
520.878,8.80881,0.605,8.80881,0
520.994,8.90891,0.605,8.90891,0
521.109,9.00901,0.605,9.00901,0
521.226,9.10911,0.605,9.10911,0
521.343,9.20921,0.605,9.20921,0
521.459,9.30931,0.605,9.30931,0
521.576,9.40941,0.605,9.40941,0
521.692,9.50951,0.605,9.50951,0
521.809,9.60961,0.605,9.60961,0
521.926,9.70971,0.605,9.70971,0
522.042,9.80981,0.605,9.80981,0
522.159,9.90991,0.605,9.90991,0
522.275,10.01,0.605,10.01,0
522.393,10.1101,0.605,10.1101,0
522.511,10.2102,0.605,10.2102,0
522.628,10.3103,0.605,10.3103,0
522.746,10.4104,0.605,10.4104,0
522.863,10.5105,0.605,10.5105,0
522.981,10.6106,0.605,10.6106,0
523.098,10.7107,0.605,10.7107,0
523.216,10.8108,0.605,10.8108,0
523.333,10.9109,0.605,10.9109,0
523.451,11.011,0.605,11.011,0
523.569,11.1111,0.605,11.1111,0
523.688,11.2112,0.605,11.2112,0
523.806,11.3113,0.605,11.3113,0
523.924,11.4114,0.605,11.4114,0
524.043,11.5115,0.605,11.5115,0
524.161,11.6116,0.605,11.6116,0
524.279,11.7117,0.605,11.7117,0
524.398,11.8118,0.605,11.8118,0
524.516,11.9119,0.605,11.9119,0
524.635,12.012,0.605,12.012,0
524.754,12.1121,0.605,12.1121,0
524.873,12.2122,0.605,12.2122,0
524.992,12.3123,0.605,12.3123,0
525.111,12.4124,0.605,12.4124,0
525.23,12.5125,0.605,12.5125,0
525.35,12.6126,0.605,12.6126,0
