T,id,x,y,z
507.352,0,0.505,0,0
507.484,0.1001,0.505,0.1001,0
507.616,0.2002,0.505,0.2002,0
507.747,0.3003,0.505,0.3003,0
507.879,0.4004,0.505,0.4004,0
508.01,0.500501,0.505,0.500501,0
508.142,0.600601,0.505,0.600601,0
508.274,0.700701,0.505,0.700701,0
508.405,0.800801,0.505,0.800801,0
508.537,0.900901,0.505,0.900901,0
508.668,1.001,0.505,1.001,0
508.815,1.1011,0.505,1.1011,0
508.962,1.2012,0.505,1.2012,0
509.109,1.3013,0.505,1.3013,0
509.256,1.4014,0.505,1.4014,0
509.403,1.5015,0.505,1.5015,0
509.55,1.6016,0.505,1.6016,0
509.697,1.7017,0.505,1.7017,0
509.844,1.8018,0.505,1.8018,0
509.99,1.9019,0.505,1.9019,0
510.137,2.002,0.505,2.002,0
510.282,2.1021,0.505,2.1021,0
510.426,2.2022,0.505,2.2022,0
510.571,2.3023,0.505,2.3023,0
510.716,2.4024,0.505,2.4024,0
510.86,2.5025,0.505,2.5025,0
511.005,2.6026,0.505,2.6026,0
511.149,2.7027,0.505,2.7027,0
511.294,2.8028,0.505,2.8028,0
511.439,2.9029,0.505,2.9029,0
511.583,3.003,0.505,3.003,0
511.729,3.1031,0.505,3.1031,0
511.876,3.2032,0.505,3.2032,0
512.022,3.3033,0.505,3.3033,0
512.168,3.4034,0.505,3.4034,0
512.314,3.5035,0.505,3.5035,0
512.46,3.6036,0.505,3.6036,0
512.606,3.7037,0.505,3.7037,0
512.752,3.8038,0.505,3.8038,0
512.899,3.9039,0.505,3.9039,0
513.045,4.004,0.505,4.004,0
513.191,4.1041,0.505,4.1041,0
513.338,4.2042,0.505,4.2042,0
513.485,4.3043,0.505,4.3043,0
513.632,4.4044,0.505,4.4044,0
513.778,4.5045,0.505,4.5045,0
513.925,4.6046,0.505,4.6046,0
514.072,4.7047,0.505,4.7047,0
514.218,4.8048,0.505,4.8048,0
514.365,4.9049,0.505,4.9049,0
514.512,5.00501,0.505,5.00501,0
514.659,5.10511,0.505,5.10511,0
514.807,5.20521,0.505,5.20521,0
514.954,5.30531,0.505,5.30531,0
515.102,5.40541,0.505,5.40541,0
515.249,5.50551,0.505,5.50551,0
515.396,5.60561,0.505,5.60561,0
515.544,5.70571,0.505,5.70571,0
515.691,5.80581,0.505,5.80581,0
515.839,5.90591,0.505,5.90591,0
515.986,6.00601,0.505,6.00601,0
516.134,6.10611,0.505,6.10611,0
516.282,6.20621,0.505,6.20621,0
516.43,6.30631,0.505,6.30631,0
516.578,6.40641,0.505,6.40641,0
516.726,6.50651,0.505,6.50651,0
516.874,6.60661,0.505,6.60661,0
517.022,6.70671,0.505,6.70671,0
517.17,6.80681,0.505,6.80681,0
517.318,6.90691,0.505,6.90691,0
517.466,7.00701,0.505,7.00701,0
517.614,7.10711,0.505,7.10711,0
517.763,7.20721,0.505,7.20721,0
517.911,7.30731,0.505,7.30731,0
518.06,7.40741,0.505,7.40741,0
518.208,7.50751,0.505,7.50751,0
518.357,7.60761,0.505,7.60761,0
518.505,7.70771,0.505,7.70771,0
518.654,7.80781,0.505,7.80781,0
518.802,7.90791,0.505,7.90791,0
518.951,8.00801,0.505,8.00801,0
519.099,8.10811,0.505,8.10811,0
519.248,8.20821,0.505,8.20821,0
519.397,8.30831,0.505,8.30831,0
519.546,8.40841,0.505,8.40841,0
519.695,8.50851,0.505,8.50851,0
519.844,8.60861,0.505,8.60861,0
519.993,8.70871,0.505,8.70871,0
520.142,8.80881,0.505,8.80881,0
520.29,8.90891,0.505,8.90891,0
520.439,9.00901,0.505,9.00901,0
520.588,9.10911,0.505,9.10911,0
520.738,9.20921,0.505,9.20921,0
520.887,9.30931,0.505,9.30931,0
521.036,9.40941,0.505,9.40941,0
521.185,9.50951,0.505,9.50951,0
521.334,9.60961,0.505,9.60961,0
521.484,9.70971,0.505,9.70971,0
521.633,9.80981,0.505,9.80981,0
521.782,9.90991,0.505,9.90991,0
521.931,10.01,0.505,10.01,0
522.081,10.1101,0.505,10.1101,0
522.23,10.2102,0.505,10.2102,0
522.379,10.3103,0.505,10.3103,0
522.529,10.4104,0.505,10.4104,0
522.678,10.5105,0.505,10.5105,0
522.828,10.6106,0.505,10.6106,0
522.977,10.7107,0.505,10.7107,0
523.126,10.8108,0.505,10.8108,0
523.276,10.9109,0.505,10.9109,0
523.425,11.011,0.505,11.011,0
523.575,11.1111,0.505,11.1111,0
523.724,11.2112,0.505,11.2112,0
523.874,11.3113,0.505,11.3113,0
524.024,11.4114,0.505,11.4114,0
524.173,11.5115,0.505,11.5115,0
524.323,11.6116,0.505,11.6116,0
524.472,11.7117,0.505,11.7117,0
524.622,11.8118,0.505,11.8118,0
524.771,11.9119,0.505,11.9119,0
524.921,12.012,0.505,12.012,0
525.071,12.1121,0.505,12.1121,0
525.22,12.2122,0.505,12.2122,0
525.37,12.3123,0.505,12.3123,0
525.519,12.4124,0.505,12.4124,0
525.669,12.5125,0.505,12.5125,0
525.819,12.6126,0.505,12.6126,0
525.968,12.7127,0.505,12.7127,0
526.118,12.8128,0.505,12.8128,0
526.268,12.9129,0.505,12.9129,0
526.417,13.013,0.505,13.013,0
526.567,13.1131,0.505,13.1131,0
526.716,13.2132,0.505,13.2132,0
526.866,13.3133,0.505,13.3133,0
527.015,13.4134,0.505,13.4134,0
527.165,13.5135,0.505,13.5135,0
527.315,13.6136,0.505,13.6136,0
527.464,13.7137,0.505,13.7137,0
527.614,13.8138,0.505,13.8138,0
527.763,13.9139,0.505,13.9139,0
527.913,14.014,0.505,14.014,0
528.062,14.1141,0.505,14.1141,0
528.212,14.2142,0.505,14.2142,0
528.361,14.3143,0.505,14.3143,0
528.511,14.4144,0.505,14.4144,0
528.66,14.5145,0.505,14.5145,0
528.81,14.6146,0.505,14.6146,0
528.959,14.7147,0.505,14.7147,0
529.109,14.8148,0.505,14.8148,0
529.258,14.9149,0.505,14.9149,0
529.408,15.015,0.505,15.015,0
529.557,15.1151,0.505,15.1151,0
529.706,15.2152,0.505,15.2152,0
529.856,15.3153,0.505,15.3153,0
530.005,15.4154,0.505,15.4154,0
530.154,15.5155,0.505,15.5155,0
530.303,15.6156,0.505,15.6156,0
530.453,15.7157,0.505,15.7157,0
530.602,15.8158,0.505,15.8158,0
530.751,15.9159,0.505,15.9159,0
530.9,16.016,0.505,16.016,0
531.049,16.1161,0.505,16.1161,0
531.198,16.2162,0.505,16.2162,0
531.347,16.3163,0.505,16.3163,0
531.496,16.4164,0.505,16.4164,0
531.645,16.5165,0.505,16.5165,0
531.794,16.6166,0.505,16.6166,0
531.943,16.7167,0.505,16.7167,0
532.092,16.8168,0.505,16.8168,0
532.241,16.9169,0.505,16.9169,0
532.39,17.017,0.505,17.017,0
532.539,17.1171,0.505,17.1171,0
532.688,17.2172,0.505,17.2172,0
532.836,17.3173,0.505,17.3173,0
532.985,17.4174,0.505,17.4174,0
533.133,17.5175,0.505,17.5175,0
533.282,17.6176,0.505,17.6176,0
533.431,17.7177,0.505,17.7177,0
533.579,17.8178,0.505,17.8178,0
533.728,17.9179,0.505,17.9179,0
533.876,18.018,0.505,18.018,0
534.025,18.1181,0.505,18.1181,0
534.173,18.2182,0.505,18.2182,0
534.321,18.3183,0.505,18.3183,0
534.469,18.4184,0.505,18.4184,0
534.617,18.5185,0.505,18.5185,0
534.765,18.6186,0.505,18.6186,0
534.914,18.7187,0.505,18.7187,0
535.062,18.8188,0.505,18.8188,0
535.21,18.9189,0.505,18.9189,0
535.358,19.019,0.505,19.019,0
535.506,19.1191,0.505,19.1191,0
535.653,19.2192,0.505,19.2192,0
535.801,19.3193,0.505,19.3193,0
535.948,19.4194,0.505,19.4194,0
536.096,19.5195,0.505,19.5195,0
536.244,19.6196,0.505,19.6196,0
536.391,19.7197,0.505,19.7197,0
536.539,19.8198,0.505,19.8198,0
536.686,19.9199,0.505,19.9199,0
536.834,20.02,0.505,20.02,0
536.981,20.1201,0.505,20.1201,0
537.128,20.2202,0.505,20.2202,0
537.275,20.3203,0.505,20.3203,0
537.422,20.4204,0.505,20.4204,0
537.569,20.5205,0.505,20.5205,0
537.716,20.6206,0.505,20.6206,0
537.863,20.7207,0.505,20.7207,0
538.01,20.8208,0.505,20.8208,0
538.157,20.9209,0.505,20.9209,0
538.304,21.021,0.505,21.021,0
538.45,21.1211,0.505,21.1211,0
538.596,21.2212,0.505,21.2212,0
538.743,21.3213,0.505,21.3213,0
538.889,21.4214,0.505,21.4214,0
539.035,21.5215,0.505,21.5215,0
539.181,21.6216,0.505,21.6216,0
539.328,21.7217,0.505,21.7217,0
539.474,21.8218,0.505,21.8218,0
539.62,21.9219,0.505,21.9219,0
539.766,22.022,0.505,22.022,0
539.912,22.1221,0.505,22.1221,0
540.057,22.2222,0.505,22.2222,0
540.203,22.3223,0.505,22.3223,0
540.348,22.4224,0.505,22.4224,0
540.494,22.5225,0.505,22.5225,0
540.639,22.6226,0.505,22.6226,0
540.785,22.7227,0.505,22.7227,0
540.93,22.8228,0.505,22.8228,0
541.076,22.9229,0.505,22.9229,0
541.221,23.023,0.505,23.023,0
541.366,23.1231,0.505,23.1231,0
541.51,23.2232,0.505,23.2232,0
541.655,23.3233,0.505,23.3233,0
541.799,23.4234,0.505,23.4234,0
541.944,23.5235,0.505,23.5235,0
542.089,23.6236,0.505,23.6236,0
542.233,23.7237,0.505,23.7237,0
542.378,23.8238,0.505,23.8238,0
542.522,23.9239,0.505,23.9239,0
542.667,24.024,0.505,24.024,0
542.81,24.1241,0.505,24.1241,0
542.954,24.2242,0.505,24.2242,0
543.098,24.3243,0.505,24.3243,0
543.241,24.4244,0.505,24.4244,0
543.385,24.5245,0.505,24.5245,0
543.529,24.6246,0.505,24.6246,0
543.672,24.7247,0.505,24.7247,0
543.816,24.8248,0.505,24.8248,0
543.959,24.9249,0.505,24.9249,0
544.103,25.025,0.505,25.025,0
544.245,25.1251,0.505,25.1251,0
