T,id,x,y,z
511.289,0,0.605,0,0
511.38,0.1001,0.605,0.1001,0
511.471,0.2002,0.605,0.2002,0
511.561,0.3003,0.605,0.3003,0
511.652,0.4004,0.605,0.4004,0
511.743,0.500501,0.605,0.500501,0
511.833,0.600601,0.605,0.600601,0
511.924,0.700701,0.605,0.700701,0
512.015,0.800801,0.605,0.800801,0
512.105,0.900901,0.605,0.900901,0
512.196,1.001,0.605,1.001,0
512.305,1.1011,0.605,1.1011,0
512.414,1.2012,0.605,1.2012,0
512.523,1.3013,0.605,1.3013,0
512.632,1.4014,0.605,1.4014,0
512.741,1.5015,0.605,1.5015,0
512.85,1.6016,0.605,1.6016,0
512.959,1.7017,0.605,1.7017,0
513.068,1.8018,0.605,1.8018,0
513.177,1.9019,0.605,1.9019,0
513.286,2.002,0.605,2.002,0
513.394,2.1021,0.605,2.1021,0
513.502,2.2022,0.605,2.2022,0
513.611,2.3023,0.605,2.3023,0
513.719,2.4024,0.605,2.4024,0
513.827,2.5025,0.605,2.5025,0
513.935,2.6026,0.605,2.6026,0
514.043,2.7027,0.605,2.7027,0
514.151,2.8028,0.605,2.8028,0
514.259,2.9029,0.605,2.9029,0
514.368,3.003,0.605,3.003,0
514.477,3.1031,0.605,3.1031,0
514.587,3.2032,0.605,3.2032,0
514.697,3.3033,0.605,3.3033,0
514.807,3.4034,0.605,3.4034,0
514.917,3.5035,0.605,3.5035,0
515.027,3.6036,0.605,3.6036,0
515.136,3.7037,0.605,3.7037,0
515.246,3.8038,0.605,3.8038,0
515.356,3.9039,0.605,3.9039,0
515.466,4.004,0.605,4.004,0
515.577,4.1041,0.605,4.1041,0
515.688,4.2042,0.605,4.2042,0
515.799,4.3043,0.605,4.3043,0
515.91,4.4044,0.605,4.4044,0
516.022,4.5045,0.605,4.5045,0
516.133,4.6046,0.605,4.6046,0
516.244,4.7047,0.605,4.7047,0
516.355,4.8048,0.605,4.8048,0
516.466,4.9049,0.605,4.9049,0
516.577,5.00501,0.605,5.00501,0
516.69,5.10511,0.605,5.10511,0
516.802,5.20521,0.605,5.20521,0
516.914,5.30531,0.605,5.30531,0
517.027,5.40541,0.605,5.40541,0
517.139,5.50551,0.605,5.50551,0
517.251,5.60561,0.605,5.60561,0
517.364,5.70571,0.605,5.70571,0
517.476,5.80581,0.605,5.80581,0
517.588,5.90591,0.605,5.90591,0
517.701,6.00601,0.605,6.00601,0
517.814,6.10611,0.605,6.10611,0
