30917176.56,1.61E-09,1.56E+13,1098.035971,1467.800543,672.4041292,772.1904128,18.65812959,0.748565849,0.999998671,0.02938359
30917664.84,1.61E-09,1.56E+13,1098.015573,1467.782468,672.3974037,772.1707539,18.65842426,0.748568821,0.999998671,0.029382725
30920106.25,1.61E-09,1.56E+13,1097.977281,1467.739371,672.3449357,772.1331263,18.65989762,0.748583683,0.999998672,0.029380228
30932313.28,1.62E-09,1.56E+13,1097.781779,1467.520893,672.0835855,771.9410212,18.66726441,0.748657964,0.999998676,0.029367626
30938416.8,1.62E-09,1.56E+13,1097.711197,1467.432296,671.9441736,771.8691313,18.67094781,0.748695088,0.999998677,0.029362054
30939942.68,1.62E-09,1.56E+13,1097.69934,1467.414544,671.9074621,771.8563127,18.67186866,0.748704367,0.999998677,0.029360816
30940705.62,1.62E-09,1.56E+13,1097.68972,1467.402865,671.8902728,771.8466023,18.67232908,0.748709007,0.999998677,0.029360098
30941087.08,1.62E-09,1.56E+13,1097.685139,1467.397197,671.8816074,771.8419593,18.67255929,0.748711326,0.999998677,0.029359745
30942994.43,1.62E-09,1.56E+13,1097.654493,1467.362972,671.8407357,771.8118436,18.67371035,0.748722924,0.999998678,0.029357775
30943948.11,1.62E-09,1.56E+13,1097.643449,1467.349108,671.8189384,771.8006084,18.67428588,0.748728722,0.999998678,0.029356905
30945140.2,1.62E-09,1.56E+13,1097.625852,1467.328901,671.7928898,771.7831684,18.6750053,0.74873597,0.999998679,0.029355715
30945736.25,1.62E-09,1.56E+13,1097.618848,1467.320159,671.7792964,771.7760568,18.675365,0.748739593,0.999998679,0.029355168
30948716.48,1.62E-09,1.56E+13,1097.570938,1467.266654,671.7154134,771.7289848,18.67716354,0.74875771,0.99999868,0.02935209
30950206.6,1.62E-09,1.56E+13,1097.553681,1467.244988,671.6813312,771.7114214,18.6780628,0.748766767,0.99999868,0.02935073
30950951.65,1.62E-09,1.56E+13,1097.544629,1467.233835,671.6644202,771.7022556,18.67851244,0.748771296,0.99999868,0.029350039
30954676.94,1.62E-09,1.56E+13,1097.484745,1467.166945,671.5845265,771.6434231,18.6807606,0.748793935,0.999998681,0.029346192
30956539.59,1.62E-09,1.56E+13,1097.463163,1467.139848,671.5418955,771.6214566,18.68188469,0.748805254,0.999998681,0.029344493
30965852.81,1.62E-09,1.56E+13,1097.313328,1466.972489,671.3420567,771.4742814,18.6875051,0.74886183,0.999998684,0.029334877
30967016.97,1.62E-09,1.56E+13,1097.317029,1466.968596,671.3098633,771.4758812,18.68820765,0.7488689,0.999998684,0.029334276
30967599.04,1.62E-09,1.56E+13,1097.308894,1466.959083,671.2969546,771.4677267,18.68855893,0.748872435,0.999998684,0.029333707
30967890.08,1.62E-09,1.56E+13,1097.305438,1466.954782,671.2903127,771.4642248,18.68873457,0.748874202,0.999998684,0.029333439
30969345.27,1.63E-09,1.56E+13,1097.282034,1466.928635,671.2590583,771.4412248,18.68961276,0.748883039,0.999998685,0.029331937
30976621.23,1.63E-09,1.56E+13,1097.16533,1466.798109,671.1026481,771.3265707,18.69400371,0.748927214,0.999998687,0.029324439
30977075.98,1.63E-09,1.56E+13,1097.175619,1466.803275,671.0872203,771.3351487,18.69427814,0.748929974,0.999998687,0.029324444
30977303.35,1.63E-09,1.56E+13,1097.171961,1466.799221,671.0822995,771.3314432,18.69441536,0.748931355,0.999998687,0.029324206
30978440.22,1.63E-09,1.56E+13,1097.15373,1466.778825,671.0578468,771.3135317,18.69510144,0.748938255,0.999998687,0.029323034
30978724.44,1.63E-09,1.56E+13,1097.151802,1466.775716,671.0508912,771.3114188,18.69527296,0.74893998,0.999998687,0.029322813
30978866.55,1.63E-09,1.56E+13,1097.149999,1466.773535,671.0476766,771.3095861,18.69535873,0.748940843,0.999998687,0.029322679
30979577.09,1.63E-09,1.56E+13,1097.138579,1466.76077,671.0323949,771.2983588,18.69578753,0.748945156,0.999998687,0.029321946
30980287.63,1.63E-09,1.56E+13,1097.128573,1466.749076,671.0166619,771.288405,18.69621633,0.748949468,0.999998688,0.029321251
30980642.9,1.63E-09,1.56E+13,1097.124351,1466.743821,671.0085428,771.2841257,18.69643073,0.748951624,0.999998688,0.029320925
30982419.26,1.63E-09,1.56E+13,1097.095765,1466.711878,670.9703514,771.2560379,18.69750274,0.748962405,0.999998688,0.029319092
30982863.35,1.63E-09,1.56E+13,1097.092772,1466.707037,670.9594646,771.2527389,18.69777075,0.7489651,0.999998688,0.029318746
30983085.39,1.63E-09,1.56E+13,1097.089944,1466.703615,670.9544449,771.2498748,18.69790475,0.748966447,0.999998688,0.029318536
30983196.42,1.63E-09,1.56E+13,1097.088606,1466.70196,670.9519129,771.2485213,18.69797175,0.748967121,0.999998688,0.029318434
30983751.53,1.63E-09,1.56E+13,1097.079681,1466.691986,670.9399708,771.2397433,18.69830675,0.748970489,0.999998688,0.029317861
30984029.08,1.63E-09,1.56E+13,1097.076446,1466.687925,670.9336074,771.2364639,18.69847425,0.748972174,0.999998688,0.029317608
30984167.86,1.63E-09,1.56E+13,1097.074756,1466.685843,670.9304468,771.2347525,18.698558,0.748973016,0.999998689,0.029317479
30984861.75,1.63E-09,1.56E+13,1097.063598,1466.673372,670.9155187,771.2237814,18.69897676,0.748977226,0.999998689,0.029316764
30985555.64,1.63E-09,1.56E+13,1097.053824,1466.661948,670.900147,771.2140587,18.69939551,0.748981437,0.999998689,0.029316085
30985902.59,1.63E-09,1.56E+13,1097.049699,1466.656813,670.8922139,771.209878,18.69960489,0.748983542,0.999998689,0.029315767
30987637.31,1.63E-09,1.56E+13,1097.021777,1466.625611,670.8549008,771.1824438,18.70065177,0.748994067,0.999998689,0.029313977
30989805.71,1.63E-09,1.56E+13,1096.990175,1466.589106,670.8071859,771.1511049,18.70196038,0.749007222,0.99999869,0.02931183
30989941.24,1.63E-09,1.56E+13,1096.993007,1466.590451,670.8048272,771.1535091,18.70204216,0.749008044,0.99999869,0.029311826
30989945.47,1.63E-09,1.56E+13,1096.993007,1466.590444,670.8048244,771.153444,18.70204472,0.74900807,0.99999869,0.029311822
