T,id,x,y,z
506.201,0,0.605,0,0
506.281,0.1001,0.605,0.1001,0
506.36,0.2002,0.605,0.2002,0
506.44,0.3003,0.605,0.3003,0
506.519,0.4004,0.605,0.4004,0
506.598,0.500501,0.605,0.500501,0
506.678,0.600601,0.605,0.600601,0
506.757,0.700701,0.605,0.700701,0
506.837,0.800801,0.605,0.800801,0
506.916,0.900901,0.605,0.900901,0
506.996,1.001,0.605,1.001,0
507.086,1.1011,0.605,1.1011,0
507.176,1.2012,0.605,1.2012,0
507.267,1.3013,0.605,1.3013,0
507.357,1.4014,0.605,1.4014,0
507.448,1.5015,0.605,1.5015,0
507.538,1.6016,0.605,1.6016,0
507.628,1.7017,0.605,1.7017,0
507.719,1.8018,0.605,1.8018,0
507.809,1.9019,0.605,1.9019,0
507.9,2.002,0.605,2.002,0
507.99,2.1021,0.605,2.1021,0
508.08,2.2022,0.605,2.2022,0
508.17,2.3023,0.605,2.3023,0
508.26,2.4024,0.605,2.4024,0
508.35,2.5025,0.605,2.5025,0
508.441,2.6026,0.605,2.6026,0
508.531,2.7027,0.605,2.7027,0
508.621,2.8028,0.605,2.8028,0
508.711,2.9029,0.605,2.9029,0
508.801,3.003,0.605,3.003,0
508.893,3.1031,0.605,3.1031,0
508.985,3.2032,0.605,3.2032,0
509.077,3.3033,0.605,3.3033,0
509.169,3.4034,0.605,3.4034,0
509.261,3.5035,0.605,3.5035,0
509.353,3.6036,0.605,3.6036,0
509.446,3.7037,0.605,3.7037,0
509.538,3.8038,0.605,3.8038,0
509.63,3.9039,0.605,3.9039,0
509.722,4.004,0.605,4.004,0
509.815,4.1041,0.605,4.1041,0
509.909,4.2042,0.605,4.2042,0
510.002,4.3043,0.605,4.3043,0
510.096,4.4044,0.605,4.4044,0
510.189,4.5045,0.605,4.5045,0
510.283,4.6046,0.605,4.6046,0
510.376,4.7047,0.605,4.7047,0
510.47,4.8048,0.605,4.8048,0
510.563,4.9049,0.605,4.9049,0
510.657,5.00501,0.605,5.00501,0
510.752,5.10511,0.605,5.10511,0
510.847,5.20521,0.605,5.20521,0
