T,id,x,y,z
531.727,0,0.505,0,0
531.918,0.1001,0.505,0.1001,0
532.109,0.2002,0.505,0.2002,0
532.299,0.3003,0.505,0.3003,0
532.49,0.4004,0.505,0.4004,0
532.681,0.500501,0.505,0.500501,0
532.872,0.600601,0.505,0.600601,0
533.063,0.700701,0.505,0.700701,0
533.254,0.800801,0.505,0.800801,0
533.445,0.900901,0.505,0.900901,0
533.636,1.001,0.505,1.001,0
533.871,1.1011,0.505,1.1011,0
534.107,1.2012,0.505,1.2012,0
534.342,1.3013,0.505,1.3013,0
534.578,1.4014,0.505,1.4014,0
534.813,1.5015,0.505,1.5015,0
535.048,1.6016,0.505,1.6016,0
535.284,1.7017,0.505,1.7017,0
535.519,1.8018,0.505,1.8018,0
535.755,1.9019,0.505,1.9019,0
535.99,2.002,0.505,2.002,0
536.219,2.1021,0.505,2.1021,0
536.449,2.2022,0.505,2.2022,0
536.678,2.3023,0.505,2.3023,0
536.908,2.4024,0.505,2.4024,0
537.137,2.5025,0.505,2.5025,0
537.367,2.6026,0.505,2.6026,0
537.596,2.7027,0.505,2.7027,0
537.826,2.8028,0.505,2.8028,0
538.055,2.9029,0.505,2.9029,0
538.285,3.003,0.505,3.003,0
538.515,3.1031,0.505,3.1031,0
538.746,3.2032,0.505,3.2032,0
538.976,3.3033,0.505,3.3033,0
539.206,3.4034,0.505,3.4034,0
539.437,3.5035,0.505,3.5035,0
539.667,3.6036,0.505,3.6036,0
539.897,3.7037,0.505,3.7037,0
540.128,3.8038,0.505,3.8038,0
540.358,3.9039,0.505,3.9039,0
540.588,4.004,0.505,4.004,0
540.819,4.1041,0.505,4.1041,0
541.049,4.2042,0.505,4.2042,0
541.279,4.3043,0.505,4.3043,0
541.509,4.4044,0.505,4.4044,0
541.739,4.5045,0.505,4.5045,0
541.969,4.6046,0.505,4.6046,0
542.199,4.7047,0.505,4.7047,0
542.429,4.8048,0.505,4.8048,0
542.659,4.9049,0.505,4.9049,0
542.889,5.00501,0.505,5.00501,0
543.119,5.10511,0.505,5.10511,0
543.349,5.20521,0.505,5.20521,0
543.579,5.30531,0.505,5.30531,0
543.809,5.40541,0.505,5.40541,0
544.039,5.50551,0.505,5.50551,0
544.268,5.60561,0.505,5.60561,0
544.498,5.70571,0.505,5.70571,0
544.728,5.80581,0.505,5.80581,0
544.958,5.90591,0.505,5.90591,0
545.188,6.00601,0.505,6.00601,0
545.417,6.10611,0.505,6.10611,0
545.647,6.20621,0.505,6.20621,0
545.876,6.30631,0.505,6.30631,0
546.106,6.40641,0.505,6.40641,0
546.335,6.50651,0.505,6.50651,0
546.564,6.60661,0.505,6.60661,0
546.794,6.70671,0.505,6.70671,0
547.023,6.80681,0.505,6.80681,0
547.253,6.90691,0.505,6.90691,0
547.482,7.00701,0.505,7.00701,0
547.711,7.10711,0.505,7.10711,0
547.94,7.20721,0.505,7.20721,0
548.169,7.30731,0.505,7.30731,0
548.398,7.40741,0.505,7.40741,0
548.627,7.50751,0.505,7.50751,0
548.856,7.60761,0.505,7.60761,0
549.085,7.70771,0.505,7.70771,0
549.314,7.80781,0.505,7.80781,0
549.542,7.90791,0.505,7.90791,0
549.771,8.00801,0.505,8.00801,0
550,8.10811,0.505,8.10811,0
550.228,8.20821,0.505,8.20821,0
550.456,8.30831,0.505,8.30831,0
550.684,8.40841,0.505,8.40841,0
550.913,8.50851,0.505,8.50851,0
551.141,8.60861,0.505,8.60861,0
551.369,8.70871,0.505,8.70871,0
551.597,8.80881,0.505,8.80881,0
551.826,8.90891,0.505,8.90891,0
552.054,9.00901,0.505,9.00901,0
552.281,9.10911,0.505,9.10911,0
552.509,9.20921,0.505,9.20921,0
552.736,9.30931,0.505,9.30931,0
552.964,9.40941,0.505,9.40941,0
553.191,9.50951,0.505,9.50951,0
553.418,9.60961,0.505,9.60961,0
